../client/animate_dead/logs/61de57852d096_line_coverage_logs.txt
Processing ../client/animate_dead/logs/61de57852d096_line_coverage_logs.txt
/home/ubuntu/debloating_templates/hotcrp/lib/redirect.php: 160-160
/home/ubuntu/debloating_templates/hotcrp/src/init.php: 75-75
/home/ubuntu/debloating_templates/hotcrp/lib/dbl.php: 5-5
/home/ubuntu/debloating_templates/hotcrp/lib/dbl.php: 55-55
/home/ubuntu/debloating_templates/hotcrp/lib/dbl.php: 94-94
/home/ubuntu/debloating_templates/hotcrp/lib/dbl.php: 823-823
/home/ubuntu/debloating_templates/hotcrp/lib/dbl.php: 827-827
/home/ubuntu/debloating_templates/hotcrp/lib/dbl.php: 833-833
/home/ubuntu/debloating_templates/hotcrp/src/init.php: 76-76
/home/ubuntu/debloating_templates/hotcrp/src/helpers.php: 6-6
/home/ubuntu/debloating_templates/hotcrp/src/helpers.php: 19-19
/home/ubuntu/debloating_templates/hotcrp/src/helpers.php: 32-32
/home/ubuntu/debloating_templates/hotcrp/src/helpers.php: 45-45
/home/ubuntu/debloating_templates/hotcrp/src/helpers.php: 57-57
/home/ubuntu/debloating_templates/hotcrp/src/helpers.php: 67-67
/home/ubuntu/debloating_templates/hotcrp/src/helpers.php: 75-75
/home/ubuntu/debloating_templates/hotcrp/src/helpers.php: 80-80
/home/ubuntu/debloating_templates/hotcrp/src/helpers.php: 85-85
/home/ubuntu/debloating_templates/hotcrp/src/helpers.php: 170-170
/home/ubuntu/debloating_templates/hotcrp/src/helpers.php: 181-181
/home/ubuntu/debloating_templates/hotcrp/src/helpers.php: 191-191
/home/ubuntu/debloating_templates/hotcrp/src/helpers.php: 203-203
/home/ubuntu/debloating_templates/hotcrp/src/helpers.php: 208-208
/home/ubuntu/debloating_templates/hotcrp/src/helpers.php: 221-221
/home/ubuntu/debloating_templates/hotcrp/src/helpers.php: 241-241
/home/ubuntu/debloating_templates/hotcrp/src/helpers.php: 249-249
/home/ubuntu/debloating_templates/hotcrp/src/helpers.php: 268-268
/home/ubuntu/debloating_templates/hotcrp/src/helpers.php: 287-287
/home/ubuntu/debloating_templates/hotcrp/src/helpers.php: 292-292
/home/ubuntu/debloating_templates/hotcrp/src/helpers.php: 309-309
/home/ubuntu/debloating_templates/hotcrp/src/helpers.php: 326-326
/home/ubuntu/debloating_templates/hotcrp/src/helpers.php: 340-340
/home/ubuntu/debloating_templates/hotcrp/src/helpers.php: 346-346
/home/ubuntu/debloating_templates/hotcrp/src/helpers.php: 386-386
